no_opt,opt
2000,1414
2279,909
1261,914
1110,897
1102,910
1107,899
1121,907
1103,902
1108,905
1098,1277
1135,1200
1118,955
1100,912
1106,938
1099,900
1151,918
1557,900
1866,906
1357,905
1234,901
1229,903
1232,931
1240,912
1232,905
1239,903
1238,909
1239,1512
1372,1509
1285,927
1412,906
1219,901
1249,905
1249,900
1233,905
1162,909
1231,900
1342,905
1192,901
1258,902
1180,903
1262,943
1252,897
1107,1059
1121,964
1104,902
1101,910
1103,900
1107,906
1123,900
1103,901
1102,904
1100,905
1115,905
1122,900
1342,903
1232,915
1255,927
1634,923
1426,918
1665,1056
1863,988
1832,979
1246,958
1248,899
1659,906
1406,899
1560,906
1894,925
1473,922
1236,924
1243,920
1227,923
1238,922
1271,929
1310,921
1263,945
1232,921
1242,921
1243,943
1215,920
1883,926
1355,920
1109,920
1122,941
1110,950
1104,921
1106,921
1741,920
2125,921
1820,929
1830,918
1502,936
1261,943
1234,921
1229,937
1911,937
1969,921
1427,923
1685,924
1774,926
2219,927
1575,922
1235,922
1230,925
1232,921
1234,941
1232,943
1226,922
1234,1178
1239,934
1233,932
1228,927
1233,924
1225,943
1234,924
1233,921
1225,929
1242,932
1233,937
1235,925
1230,918
1224,947
1262,947
1235,924
1233,983
1231,1339
1225,1989
1235,930
1241,905
1236,897
1233,902
1225,923
1221,919
1234,921
1239,922
1496,922
1169,919
1107,930
1101,920
1111,2297
1123,1850
1101,903
1099,902
1097,908
1105,901
1117,907
1201,905
1160,922
1157,930
1131,922
1111,919
1105,925
1101,928
1104,920
1151,2899
1099,2925
1101,908
1099,903
1093,904
1121,919
1104,902
1120,903
1103,906
1123,904
1117,911
1109,922
1104,923
1111,963
1121,921
1103,932
1106,940
1109,920
1141,921
1123,929
1102,921
1106,924
1123,920
1160,925
1109,931
1104,939
1109,944
1101,937
1149,957
1102,923
1109,924
1103,939
1107,934
1137,925
1105,934
1129,949
1115,927
1627,943
1251,929
1107,926
1104,925
1098,925
1123,922
1098,927
1101,941
1110,940
1133,1040
1136,923
1107,925
1099,923
1104,921
1134,939
1104,941
1097,933
1099,924
1108,920
1122,929
1099,946
1103,928
1098,969
1118,923
1102,934
1096,973
1106,967
1103,925
1253,932
1139,936
1108,924
1103,927
1106,921
1125,926
1104,926
1110,939
1108,931
1131,943
1107,929
1102,921
1103,922
1107,942
1225,973
1281,918
1244,950
1113,922
1151,922
1131,939
1102,931
1109,925
1097,921
1103,946
1136,942
1107,926
1103,925
1103,931
2150,943
1496,941
1243,957
1111,918
1102,923
1105,922
1095,921
1190,935
1105,940
1099,934
1101,948
1106,921
1153,920
1189,930
1235,924
1235,925
1236,943
1236,943
1139,946
1102,957
1101,923
1101,930
1118,921
1102,933
1099,940
1119,926
1109,916
1178,929
1107,943
1102,940
1101,931
1145,918
1104,960
1107,930
1099,933
1097,1156
1142,1279
1103,1010
1108,925
1098,902
1103,918
1132,908
1105,1007
1128,962
1103,899
1109,904
1143,926
1103,914
1097,900
1097,928
1111,902
1135,905
1105,936
1106,904
1100,925
1136,902
1279,903
1140,899
1124,902
1100,905
1204,926
1111,909
1100,898
1104,902
1097,903
1138,904
1103,936
1099,900
1105,937
1101,949
1209,947
1110,921
1101,910
1105,900
1097,905
1120,905
1100,903
1098,929
1130,901
1136,909
1108,898
1099,904
1108,905
1102,924
1149,908
1104,902
1102,905
1100,920
1098,905
1133,924
1098,947
1102,939
1103,899
1121,906
1107,926
1101,905
1116,901
1100,907
1145,904
1102,901
1102,936
1108,902
1105,906
1180,902
1109,903
