no_opt,opt
9544,9759
8365,8896
8233,9255
8298,8832
8249,9300
8311,8685
8259,9130
8265,8725
8264,8720
8252,8747
8309,8707
8272,8725
8969,8693
9936,8787
8284,8700
8273,8711
8267,8762
8254,8814
10143,8765
8281,8818
8406,8866
8265,8753
8243,8801
8296,8769
8247,8826
8364,8779
10731,8799
8293,8802
8876,8816
10987,8848
8474,8787
9456,9843
8282,8731
8295,8934
8375,8812
8379,8816
8336,8791
8323,8824
8386,8835
8301,8834
8546,8892
8232,9097
8424,8987
8258,8740
8285,8813
8247,8849
8293,8804
8263,8953
8271,8753
8313,8884
8253,8829
8299,8813
8236,8817
8294,8787
8269,8864
8270,8780
8249,8824
8270,8804
8306,8803
8280,8862
8255,8819
8293,8818
8285,8851
8412,8810
8230,8789
8329,8872
8256,8798
8283,8827
8257,8841
8248,8829
8271,8828
8239,8853
9300,8820
8838,8800
8270,8910
8244,8772
8261,8842
8278,8827
8283,9836
8250,8793
8359,8798
8249,9489
8290,8771
8260,8824
8240,8797
8275,8858
8241,8799
8314,8851
8303,8786
8242,9382
8256,8848
8629,8813
8284,8864
8539,8801
8314,9131
8326,8757
8263,11074
8262,8770
8269,9068
8282,9201
8278,8696
8233,8777
9656,8702
8323,9190
8357,8701
8274,8702
8266,8746
8232,8721
8298,8848
8248,8745
8269,8872
8237,8838
8294,8812
8264,8862
8635,8816
8301,8860
8267,8874
8238,8889
8341,8884
8598,9320
8267,8847
8267,8886
8285,8891
8318,8862
8280,8945
8254,8901
8243,8936
8391,8872
8244,9042
8300,8862
8242,8956
8290,9055
8236,8956
10360,8931
8289,8887
8365,8988
8270,8854
8250,8904
8326,8945
8292,8917
8472,8905
8318,8912
8339,8938
8287,8913
8304,8957
8244,8910
9180,8981
8280,8960
8320,8949
8260,8929
8387,8927
8241,8922
8549,8976
8290,9038
8551,9013
8566,8902
8433,8958
8460,8963
8299,8903
8388,9059
8278,9954
8517,8919
8292,8996
8361,8923
8349,8941
8401,8946
8398,8985
8402,8966
8553,8959
8403,8954
8552,8927
8513,8941
8646,8981
8434,8937
8477,8992
8504,8979
8498,8968
8613,8959
8496,8990
8532,8943
8390,8958
8752,9216
8502,8974
8485,8946
8447,8972
8508,8936
8516,8982
8493,8927
8438,8983
8466,8925
8460,8989
8579,8993
8751,9019
8573,9055
8641,8861
8483,9012
8396,8977
8405,8978
8318,8992
8504,8946
8292,10024
8413,8866
8481,9042
8494,8902
8323,9788
8361,9913
8252,8882
8285,8988
8323,8979
8268,8977
8269,8975
8236,9012
8324,9135
8240,8912
8295,9064
8235,8940
8466,9021
8293,8965
8443,8989
8446,9000
8240,8959
8323,8981
8224,8972
8534,8994
8220,8949
8328,8997
8250,8945
8285,9083
8234,9023
8290,8948
8299,9415
8258,8926
8262,8944
8272,9007
8256,8967
8306,9006
8332,8951
8335,9062
8323,8961
8328,9053
8345,9014
8304,8969
8354,9012
8293,8938
8319,8982
8283,8979
8265,8976
8398,8972
8327,8952
8363,8994
8282,8952
8414,9024
8291,8949
8646,9018
8307,8905
8539,8970
8347,9012
8590,8965
8570,9002
9289,8997
8934,9051
8812,8893
8453,8950
8337,8962
8509,8954
8323,9080
10414,8973
8309,8950
8339,8979
9482,9032
8879,8932
9296,9014
8286,9152
