no_opt,opt
11844,8607
9307,8286
9451,9218
8742,8299
8404,8403
8401,9114
8443,8595
8356,8312
8296,8261
8391,8265
8300,8363
8402,9118
8286,8268
8379,9206
8402,8255
8327,8360
8528,8870
8372,8369
8654,8275
8326,8315
8433,8280
8323,8385
8473,8259
8332,8665
8330,8256
8315,8703
8271,8241
8496,8339
8316,8865
8406,11276
8281,9264
8450,8716
8343,9118
8366,8243
8325,8340
8339,8242
8325,8268
8313,8305
8359,8395
8309,8280
8354,8279
8294,8327
8324,8262
8350,8261
8329,8289
8370,8288
8326,8279
8341,8922
8348,8285
8324,8288
8394,8255
8327,8304
8415,8291
8325,8470
8292,8272
8394,8253
8308,8306
8466,8364
8293,8278
8349,8256
8290,8566
8445,8261
8364,8321
8360,8275
8258,8331
10797,8231
8971,8441
9046,8227
9431,8364
8602,8232
9657,8336
8840,8244
9599,8277
8866,8245
8924,8299
12837,8289
8801,8259
8303,8329
8551,8316
8334,8255
8909,8277
9618,8232
8530,8260
8381,8242
8314,8258
8312,8254
9490,8253
8684,8318
8336,8267
8371,8284
8322,8416
8363,8295
8329,8395
8468,8286
8296,8297
8425,8267
8314,8274
8403,8238
8357,8281
8304,8253
8300,8300
8391,8230
8278,8450
8520,8264
8344,8290
8347,8281
9132,8265
8690,9135
8430,8435
8333,8444
8924,8295
8315,8326
8344,8269
8404,8235
8449,8295
8426,8346
8365,8262
8399,8573
8438,8261
8539,8447
8521,8558
8558,8390
8523,8499
8453,8290
8443,8338
8579,8237
8418,8284
8376,8262
8381,8287
8710,8277
8380,9849
8430,8339
8395,8295
8483,8273
8452,8299
8407,8333
8350,8274
8575,8279
8356,8312
8508,8285
8427,8245
8415,8283
8351,8264
8430,8244
8545,8628
8594,8325
8825,8291
8349,8234
9329,8406
8426,8254
8532,8431
8249,8263
8469,8368
8365,8328
8393,8249
8276,8230
8283,8380
9367,8267
9227,8263
9196,8260
9387,8267
9205,8242
12164,8253
11331,8265
9112,8258
9063,8263
9271,8263
9337,8287
9193,8412
9197,8244
9190,8280
9175,8296
10058,8266
9153,8234
8283,9145
8231,8299
8384,8453
8263,8229
8285,8336
8293,8231
8295,8299
8268,8322
8268,8503
8712,8296
8294,8297
8296,8282
8244,8278
9200,8277
8251,8244
8379,8303
8468,8253
9052,8277
8498,8256
8372,8291
8667,8293
8568,8403
9229,8341
8274,8271
8788,8257
8290,9091
8249,8282
8273,8369
8804,8270
8555,8284
9170,8276
8727,8254
8296,8296
8384,8255
8325,8284
8856,8248
8805,8269
8313,8279
8228,8809
8493,11133
8308,8348
8308,8256
8224,8315
8350,8282
8302,8275
8483,8244
8374,8312
9131,8255
8601,8387
8268,8261
9464,8263
8722,8270
10684,8258
8255,8975
9046,8277
8284,8360
8301,8260
8314,8265
8355,8293
8318,8243
8365,8277
8288,8316
8383,8284
8357,8451
8390,8284
8331,8791
9089,8261
8255,8320
8392,8833
8334,8262
8419,8314
8335,8319
8376,8852
8370,8253
8394,8341
8330,8325
8432,8306
8291,8265
8437,8285
8284,8246
8445,13416
8350,8393
8777,8295
8395,8553
8386,8267
8344,8296
8407,8316
8342,8305
8386,8277
8341,8540
8388,8235
8341,8471
8559,8270
8368,8280
8886,8465
8316,8266
8404,8404
8942,8383
8325,8378
8495,8266
8358,8257
8361,8309
8381,8315
8372,8288
8396,8266
8356,8272
8369,8410
8365,8277
8422,8303
8359,8302
8342,8241
10662,8295
8368,8230
8984,8330
8339,8243
8338,8278
8370,8270
8369,8377
8435,8258
8310,8245
10503,8266
8346,8288
8322,8354
8426,8264
8317,8324
8375,8296
8390,8304
