no_opt,opt
8555,8703
8272,8249
9954,8373
8670,8274
8359,8509
8313,8220
8431,8344
8372,8272
8438,8262
8450,8258
8416,8248
8658,8245
8414,8287
8501,8247
8533,8597
8537,8285
8646,8245
8550,8280
9378,8252
8496,8395
9822,10204
8494,8838
9119,8586
8524,8595
8508,8717
8468,9009
8442,8304
8480,8335
8492,8316
8473,8259
8450,8247
8504,8283
8435,8235
8563,8745
8463,8502
8454,8284
8472,8913
8455,8286
8481,8313
8446,8270
8427,8249
8814,8280
8468,8443
8506,8262
8496,8717
8487,8628
8510,8239
8422,8298
9686,8241
8454,8303
8502,8249
8408,8389
8621,8263
8470,8289
8523,8250
8891,8400
8902,8244
8500,8361
8408,8269
8538,8329
8429,8252
8458,8254
8399,8263
8831,8317
8438,8271
8458,8296
8452,8271
8432,8331
8474,8249
8427,8328
8648,8246
8472,8305
8467,8251
8430,8255
8531,8552
8471,8311
8448,8262
8465,8261
9353,9231
8430,8272
8445,9403
8437,8281
8550,8285
8444,8262
8487,8295
8505,8283
8452,8255
8592,8282
8424,8289
8520,8389
8436,8251
8725,8343
8463,8257
8943,8312
8249,8247
8300,8272
8225,8265
8362,8480
8338,8233
8342,8315
8347,8236
8386,8289
8359,8236
8369,8321
8374,8234
8400,8471
8413,8240
8374,9036
8414,8292
8457,8299
8737,8265
8730,8249
8725,8305
8338,8244
8363,8406
8445,8249
8546,8268
8424,8275
8418,8272
8395,8272
8440,8328
8403,8332
8366,8250
8389,8245
8396,10051
8413,8435
8411,8266
8434,8338
8441,8440
8449,8325
8359,8287
8463,8309
8376,8244
8394,8696
8417,8256
8418,8331
8446,8268
8372,8286
8582,8214
8392,8292
8425,8221
8405,8301
8466,8253
8390,8758
8386,8323
8386,8280
8390,8273
8392,8238
8443,8290
8360,8238
8467,8330
8467,8255
8393,8327
8426,8256
8371,8267
8533,8291
8376,8264
8433,8301
8391,8298
8449,8296
8406,8270
8421,8268
8386,8240
8433,8274
8389,8248
8430,8234
8391,8551
8439,8286
8398,8308
8475,8508
8416,8220
8437,8551
8416,8249
8416,8693
8434,8230
8406,8330
8395,8224
8435,8295
8408,8261
8399,8324
8543,8261
8407,8246
9092,8261
8409,8272
8429,8223
8390,8304
8441,8255
8423,9205
8366,8309
8431,8283
8379,9042
8446,8230
8432,8284
8383,8244
8435,8477
8405,8250
8444,8255
8521,8280
8337,8598
8420,8268
8381,8374
8551,8257
8379,8477
8395,8290
8417,8230
8399,8263
8558,8245
8370,8377
8409,9224
8421,8274
8566,8265
8405,8317
8455,8251
8412,8265
8439,8335
8390,8256
8410,8227
8444,8382
8379,8250
8404,8325
8405,8234
8454,8278
8406,8273
8409,8287
8437,8286
8396,8281
8444,8242
8444,8284
8400,8248
8405,8338
8388,8268
8431,8293
8384,8272
8439,8287
8401,8341
8959,8396
8420,8270
8381,8263
8467,8272
8383,8234
8435,8346
8404,8301
8551,8296
8382,8286
8482,9340
8405,8307
8588,8249
8450,8342
8433,8252
8396,8290
8440,8343
8404,8251
8445,8594
8405,8250
8433,8498
8409,8289
8436,8247
8435,8273
8412,8267
8418,8298
8396,8282
8485,8364
8392,8308
8460,8287
8380,8384
8949,8415
8438,8222
8406,8345
8436,8248
8353,8314
8471,8301
8399,8302
8619,8297
8730,8279
8897,8344
9189,8330
8697,8570
8269,8252
8347,8942
8412,8400
8417,8290
8460,8228
8340,8271
8379,8334
8404,8261
8444,8319
8422,8281
8443,8260
