no_opt,opt
8420,8529
9048,8289
8507,8366
8660,8304
8496,8511
8560,8296
8936,8260
8257,8245
10477,8364
8224,8245
8342,8313
8239,8253
8279,8266
8277,8300
8317,8244
8278,8261
8264,8237
8230,8248
8307,8258
8251,8242
8306,8236
8980,8255
8304,8243
10422,8241
8398,8218
8309,8274
8313,8278
8324,8348
9645,8245
8299,8243
9775,8219
8274,8280
8294,8219
8580,8293
8279,8230
9067,8746
8221,8263
8627,8262
8264,8244
8310,8287
8242,8231
8387,8349
8282,8229
8356,8479
8240,8210
8279,8244
8287,8633
8332,8271
8617,8239
8867,8229
8708,8289
8384,8236
8390,8249
8437,8245
8310,8236
8287,8261
8263,8487
8266,8318
8285,8245
8252,8247
8275,8238
8261,8239
8257,8645
8248,8255
9432,8540
8289,8323
8253,8240
8322,8363
8216,8262
8243,8489
8233,8428
8275,8428
8288,8267
8304,8315
8252,8221
8273,9359
8285,8270
8238,8284
8294,8233
8414,8349
8256,8237
8233,8281
8276,8273
8326,8265
8221,8215
8424,8229
8222,8251
8455,8229
8230,8282
8317,8265
8242,8254
8413,8273
8312,8354
8426,8353
8279,8255
8869,8250
8272,8276
8361,8289
8264,8314
8289,8215
8253,9141
8302,8291
8240,8226
8309,8301
8258,8227
8322,8255
8250,8226
8324,8255
8310,8278
8265,8214
8271,8284
8297,8233
8254,8402
8325,8269
8409,8312
8252,8296
8262,8238
8273,8251
8311,8231
8262,8414
8307,8251
8319,8253
8253,8285
8264,8255
8263,8248
8329,8302
8264,8249
8249,8266
8228,8273
8427,8259
8232,8271
8288,8332
8251,8400
8319,8270
8245,8279
8299,9444
8295,8320
8296,8225
8276,8436
8281,8244
8231,8269
8313,8250
8235,8246
8478,8255
8231,8243
8337,8223
8245,8302
8281,8262
8260,8302
8716,8245
8322,8361
8521,8258
8247,8258
8235,8273
8319,8275
8259,8282
8333,8456
8253,8312
8343,8292
8278,8265
8278,8301
8318,8354
8262,8301
8259,8294
8255,8262
8309,8327
8323,8456
8270,8288
8329,8254
8236,8298
8257,8290
8268,8234
8789,8285
8250,8278
8305,8270
8264,8258
8262,8281
8288,8373
8238,8254
8321,8267
8242,8266
8302,8298
8219,8294
8267,8340
8217,8234
9523,9362
8262,8325
8332,8270
8221,8530
8256,8271
8298,8286
8255,8274
8299,8351
8278,8225
8247,8673
8286,8276
8242,8338
8330,8256
8217,8421
8311,8215
8224,8335
8255,8226
8289,8303
8240,8217
8315,8284
8232,8231
8296,8283
8383,8224
8304,8277
8249,8244
8265,8273
8271,8235
8315,8256
8239,8607
8522,8253
8275,8261
10080,8269
8300,8249
8430,8270
8299,8498
8234,8268
8289,8442
8256,8279
8460,8266
8258,8233
8289,8267
8274,8245
8304,8260
8231,8252
8342,8267
8274,8280
8296,8221
8242,8271
8313,8218
8243,8336
8451,8225
8247,8352
8283,8262
8263,8245
8312,8253
8256,8269
8321,8235
8258,8334
8262,8209
8263,8325
8355,8275
8265,8241
8272,8215
8403,8409
8241,8661
9212,8303
8276,8300
8334,8278
8309,8348
8256,8270
8310,8261
8914,8254
8302,8273
8304,8264
8248,8398
8315,8319
8273,8257
8300,8244
8855,8280
8271,8231
8281,8258
8257,8309
8262,8281
8230,8270
9173,8250
8271,8277
9405,8288
8227,8263
8333,8276
8230,8284
8307,8394
8491,8254
8850,8405
8682,8264
8275,8257
8287,8390
8307,8311
8272,8308
8309,8218
8307,8326
9077,8226
8399,8470
8287,8234
8318,8346
8274,8247
8332,8232
8279,8311
8243,8261
8452,8249
8271,8243
8322,8220
8224,8282
8314,8300
8245,8280
8303,8355
8449,8266
9592,8292
8272,8233
8262,8295
8269,8240
9799,8396
8256,8327
8282,8259
8276,8260
8299,8383
8263,8257
8260,11828
8295,8316
8261,8335
8310,8407
8633,8248
8550,8483
8286,8263
8252,8560
8276,8237
8312,8318
8267,8297
8302,8648
8258,8288
8278,8380
8288,8221
8325,8329
8307,8292
8229,8256
8320,8275
8239,8258
8839,8281
8263,8263
8517,8256
8265,8321
8329,8256
8235,8376
8556,8286
8235,8262
8358,8281
8225,8249
8590,8493
8222,8427
8423,8265
8336,8251
8261,8260
8882,8275
8270,8250
8403,8288
8263,8268
8317,8252
8256,8311
8317,8249
8267,8344
8449,8246
8323,8271
8234,8251
8277,8262
8268,8280
8272,8250
8263,8284
8837,8661
8288,8294
8282,8235
8346,8320
8326,8219
8267,8291
8289,8226
8230,8298
10835,8254
