no_opt,opt
8555,9198
8605,8905
8258,8357
8485,8434
8235,8363
8503,8234
8356,8288
8263,8252
8463,8308
8415,8243
8572,8323
8877,8234
8535,8273
8289,8258
8231,8261
8206,8255
8283,8279
8215,8276
8346,8250
8244,8291
8320,8452
8675,8309
8977,8260
9265,8240
8642,8349
8525,8337
8271,8249
8300,8289
8372,8250
8311,8281
8257,8236
8297,8387
8239,8241
9139,8423
8342,8315
8367,8278
8253,8245
8526,10534
8241,8309
8579,8262
8329,9034
8294,8234
8329,8310
8214,8230
8295,8287
8268,8212
8293,8455
8278,8244
8300,8324
8396,8247
8242,8318
8245,8237
8286,8297
8265,8247
8572,8710
8265,8236
8271,8335
8259,8249
8328,8253
8264,8259
8604,8261
8272,8398
8308,8296
8313,8298
8255,8270
8387,8332
8254,8253
8341,8237
8275,8234
8373,9095
8792,8254
8242,8303
8286,8235
8318,8230
8314,8267
8359,8280
8309,8272
8284,8809
8302,8306
8285,8217
8297,8268
8380,8321
8291,8293
8314,8256
8305,8324
8274,8245
8265,8301
8231,8235
8342,8308
8276,8252
8476,8278
8242,8236
8332,8290
8330,8259
8327,8260
8255,8283
8350,8387
8263,8256
8313,9201
8299,8241
8336,8307
8236,8245
8359,8425
8250,8255
8315,8277
8278,8258
8378,8388
8525,8297
9302,8304
8819,8242
8283,8266
8234,8290
8358,8253
8393,8291
8273,8417
8295,9520
8325,8277
8340,8535
8291,8361
8328,8337
8332,8270
8326,8268
8270,8248
8353,9185
8317,8389
8319,8225
8318,8307
8441,8227
8262,8307
8313,8233
8342,9243
8282,8315
8342,8240
8284,8288
8323,8241
8278,8263
8362,8344
8284,8224
8720,8308
8270,8268
8400,8284
8213,8266
8389,8283
8286,8534
8356,8262
8301,8413
8414,8329
8275,8280
8299,8271
8321,8286
8310,8268
8319,8280
8283,8248
8338,8305
8299,8286
8348,8226
8292,8305
8421,8270
8300,8831
8414,8251
8279,8267
8278,8270
8296,8264
8313,8230
8325,8266
8310,8221
8303,8310
8328,8223
8286,8397
8334,8233
8342,8291
8274,8248
8326,8327
8277,8242
8353,8955
8309,8250
8294,8343
9024,8225
8657,8346
8424,8233
8272,8338
8282,8215
8807,8556
8255,8281
8358,8289
8302,8291
8343,8325
8255,8252
