no_opt,opt
8999,11179
8854,9003
9209,9188
9005,8740
10017,9193
11129,8754
8899,8702
9056,9611
9108,8969
8975,8814
9014,8718
8964,8740
9149,8679
9011,8809
10999,8772
9047,8979
8980,8693
9055,8695
9590,8883
9026,8715
9017,8865
8996,8683
9001,8763
9024,8691
9041,8776
8996,9029
9033,8712
9006,8892
9037,8683
8997,8808
9021,8709
9743,8719
8935,8729
9022,9080
9090,8870
9043,8818
9014,8724
9078,8773
8997,8750
9016,8713
8985,8768
10183,8676
8993,9100
9025,8739
9024,8816
9594,8687
8963,8697
9403,8702
10685,8685
9444,8764
8734,9088
8742,8661
8687,8729
8801,8718
8810,8755
8890,8761
8751,8765
8673,8703
8946,8768
8736,8819
8853,8818
8844,8783
8806,9898
9425,9018
8766,8726
8935,8736
8833,8713
8909,8959
9301,8728
9694,8801
9590,8673
8789,8854
9106,8703
8830,8851
9943,10025
9102,8885
8916,8809
8879,8688
8867,8752
8877,8684
8847,8717
8884,8708
8858,8687
8939,8870
8952,8920
8900,8908
9232,8726
8918,8743
9441,8716
8861,8746
9587,8736
8873,8693
8848,8712
9672,8729
8867,8749
8894,8716
8885,8738
8909,8721
8870,9209
8868,8759
8912,8929
8892,8783
9041,8769
8865,8810
9032,8659
8853,9321
8938,8698
8977,9778
8964,8967
8895,8706
8917,9064
9422,8691
8903,10182
8923,8751
8992,8843
8879,8817
10371,8845
8887,8871
9346,8835
9064,8848
8879,8832
9013,8997
8943,8854
8952,8903
8884,8805
9830,8857
8912,9415
8868,8783
8989,8835
8879,8831
9018,8920
8895,8934
9215,8830
8946,10223
8951,8750
8954,8964
8846,9398
8954,8804
8911,8909
8947,8839
8897,9735
8979,8721
8953,8879
8893,8869
8971,9560
8939,9447
9053,8899
8905,9470
8970,8784
8915,8971
8951,8825
10299,8924
8772,8881
8970,9370
9201,8832
8963,10114
9069,9640
9020,9355
9032,9171
9044,9144
8957,8829
8906,11178
8990,8879
8957,8745
9045,8785
8995,8666
8970,8733
8933,8746
8939,8901
8991,9217
8940,9055
8969,8738
8987,8746
8948,8852
8949,8658
8905,8738
9142,8705
8880,8767
9151,8681
8875,8727
8955,8693
8974,8744
8923,8869
8943,8832
8917,9077
8942,8695
8912,9125
8949,8840
8960,8761
8914,8654
8949,8708
8935,8730
8909,8691
8961,8807
8943,8708
8918,8779
8946,8681
9009,9000
8952,8839
8958,8929
8925,8714
8963,8750
9009,8890
8943,8733
8948,8665
8943,8761
8960,8692
8926,8749
8932,8749
8955,9021
8942,8881
8907,8729
8936,8885
8977,8733
8953,8778
8985,8796
8927,8723
8925,8830
8934,9569
9002,8757
8932,9047
8934,8945
8964,8749
8901,8760
8959,8827
8963,8747
8960,8788
8900,8830
8960,8758
8936,8787
8936,8810
8988,8761
8933,8802
8912,8810
8929,8831
9583,8739
9329,8786
9695,8811
9054,8781
9127,8779
8859,8772
10829,8735
8907,9438
8882,8773
9312,8791
9529,8783
9174,8796
8745,8773
8851,8781
8837,8788
8883,8752
8945,8819
8874,8988
8924,8807
9032,8753
8829,8762
8955,8815
8841,8746
9291,8938
9477,8742
8848,8896
8916,8872
8948,9027
9958,8769
8790,8769
9090,8886
9007,8821
8954,9242
8955,8999
8878,8790
9012,8816
9188,8864
8921,8773
9015,8827
8957,8810
8975,8799
8919,8821
9068,8824
8899,8830
8970,8814
8920,8793
8950,8977
8989,8728
8919,8833
8976,8790
8930,8808
8904,8854
8988,8806
8922,8985
8875,8759
8939,8833
8961,8748
8867,8889
8959,8781
8948,8813
8989,8822
8925,8809
9066,8835
8986,8791
8927,8924
8933,8762
8945,9775
9023,8739
8948,8858
8924,8768
8957,8859
8962,8825
8964,8817
8966,8793
8959,8782
8921,9058
8922,8769
8935,8790
8970,8823
8954,8823
9023,8834
8972,8809
8922,8832
8924,8803
8950,8827
8980,8800
8966,8794
8880,8800
8726,8871
8748,8744
8948,12449
8891,8807
8992,8706
9033,8721
8967,8708
9011,8857
8994,8760
9015,8886
8979,8903
9017,8807
9009,8872
9043,8813
9007,9702
9016,8824
9036,8889
8966,8842
9054,9130
8983,8811
9063,8865
9002,8875
9068,8871
9019,8844
9093,8855
9077,9158
9020,8897
9001,8806
9037,8886
9066,8845
8969,8901
9195,8798
8961,8860
9011,8853
9045,8933
9016,8848
9013,8898
9028,9101
9078,8750
9003,8871
9042,8869
9051,8840
9031,8867
9008,8948
9025,8852
9025,8856
9018,9005
9017,8841
9045,8837
9022,8841
9236,12482
8953,10234
9099,8723
8949,8723
9059,8702
9014,8909
9027,8687
8996,8709
9025,8714
9084,8727
8786,8778
8822,8688
8699,8773
8836,8702
8990,8735
8844,8715
9114,8692
9290,8718
8956,8688
8953,8729
9041,8708
9023,8743
9007,8736
9036,8702
8995,8720
9074,9027
8992,8729
9072,8846
9049,8844
9058,8711
9082,8825
10390,8691
9081,8761
9094,8730
9059,8780
9100,8690
9081,8680
9057,8684
9090,8689
9134,8694
9261,8664
8990,9948
9153,8717
9066,8707
9180,8722
9558,8744
9100,8680
9165,8729
9015,8869
9221,8707
9018,8790
9112,8722
9068,8755
9123,8687
9358,8733
8709,8697
8708,8682
8749,8790
8908,8683
8803,8885
8778,8690
8687,8751
9104,8721
8739,8876
8752,8724
8731,8746
8683,8824
8724,8694
8711,8736
8898,8689
8708,8750
9568,8724
8678,9828
8673,8695
8924,8781
8688,8748
8791,8693
8682,8766
8814,8704
8691,8719
8693,8690
8729,8725
8694,8687
8714,8720
8725,8710
8838,8780
8721,8836
9077,8942
8741,8842
9575,9275
8691,9117
8841,8733
8740,8858
8714,8886
8703,8906
8725,8871
8714,8897
8690,8910
8819,8941
8694,8856
9187,8977
8720,8881
8756,10368
8687,9400
8773,8930
8817,9125
8705,8890
8745,8985
8711,8859
8821,8980
8759,8969
8679,8931
8817,8900
8859,8932
8710,9155
8750,8896
8763,9079
8707,8762
8702,8761
8811,8688
8879,8742
8807,8693
8831,8709
8764,8766
8710,8717
8756,8715
8708,8735
8840,8693
8719,8897
8890,8731
8698,8794
8700,8775
8712,8777
8704,8836
8725,8792
8698,8840
8711,8822
8690,8854
8676,8776
8692,8843
8705,8809
8652,8847
8717,8844
8665,8989
8718,8770
8734,8917
8744,9308
8769,9618
8695,9257
8774,8725
8691,8900
8694,8875
8670,8890
8793,8889
8799,8892
8747,8988
8720,8765
8720,8855
8733,8857
8715,8917
8879,8831
8817,8907
8834,8869
8891,8896
8880,8865
8924,8851
8847,8832
8966,8838
8881,8904
9007,8855
8965,8867
8916,8864
8980,8808
8954,9032
8964,8855
8991,8943
9172,8879
8994,8876
9018,8895
8927,8922
8994,8902
9011,8865
8947,8907
9000,8862
8973,8907
8989,8863
9034,8927
9036,8825
8971,10190
8998,8910
9046,8830
8984,8948
10051,8892
8898,8902
9024,8855
9032,8870
9006,8913
9171,8878
9051,8897
9067,8897
9038,8928
9816,8874
9265,8968
8924,8842
9032,8993
9052,9122
9038,8906
9019,9002
9042,8940
9009,8903
9023,8853
9002,8901
9018,8949
9056,8893
9031,8983
9001,8807
9057,8901
9022,8882
9039,9007
8999,8852
9152,8916
8958,8934
9103,8863
9088,8893
9043,8868
9187,8936
8918,8870
9028,8996
9002,8840
9051,8996
9032,8826
9061,8918
9234,8912
9065,8882
9116,8947
9017,8945
9049,8917
9057,8856
9015,8901
9175,8892
9007,8879
9133,8934
9023,8878
9023,8974
9066,8866
9022,8879
9090,8878
8996,8870
9025,8923
8996,8889
10082,9156
9054,8869
9049,8888
9107,8881
9024,8931
9134,8853
9014,8937
9068,8928
9043,8884
9048,9095
9095,8871
9027,8947
9081,8860
9082,8882
9105,8919
9034,8937
9076,8948
9066,8853
9015,9954
9043,8848
9018,9014
9207,8895
9008,8921
9038,8896
9040,8910
9153,8897
9096,8941
9025,8939
9121,8888
9062,8990
9023,8861
9022,9859
9025,9170
9078,8755
9024,8683
8990,8722
9083,9895
9053,8731
9035,8775
9103,8837
9041,8708
9056,8768
9056,8720
9067,8817
9054,8744
9060,8721
9075,8688
9071,8726
9028,8712
9070,8727
9022,9759
9480,8706
8873,8670
10086,8709
8706,8684
8750,8708
8846,8853
9560,8720
8963,8967
8901,8705
8990,8715
10334,8714
8985,8702
11180,8736
9132,8677
9073,8740
9045,8677
9043,8743
9097,8736
9102,8739
9040,8884
9719,8806
9037,8698
9070,8763
9259,8721
9065,8729
9089,8786
9046,8712
9105,9208
9082,8856
9095,8832
9076,8734
9092,8689
9086,8727
9787,8707
9062,8733
9163,8713
9193,8726
10523,8738
9069,8838
9059,8795
9145,8673
9047,8895
9192,8681
9143,8746
9066,8714
9244,8734
9104,8702
9699,8735
9399,8718
8882,8719
8879,8763
8721,8725
8717,8748
8765,8689
8692,8723
8737,8694
8836,8737
8794,8693
8850,8759
8846,8683
8990,8727
8878,8806
8909,8760
8899,8801
8923,8737
8872,8803
8877,8665
8899,8798
8929,8701
8911,8743
