no_opt,opt
11313,8877
8737,9100
9037,8709
8859,8884
9522,8683
8858,9065
8835,8740
8989,8721
9144,8888
8884,8719
8894,9614
8881,8707
8875,8734
8905,8700
8868,9803
8864,9023
8941,8855
8827,9734
8903,8760
9278,8806
9955,8870
8850,8887
8893,8760
8918,8952
8807,8706
8894,8727
8888,8671
10349,8718
8927,8702
8815,8785
9081,8691
8983,8829
8880,8695
8748,8744
8831,8708
8681,8694
8757,8828
8723,8769
8697,8723
8738,8700
8680,8740
8731,8722
8690,8696
8753,8707
8781,8724
8736,8703
8815,8715
8780,8684
9379,8689
8703,8803
8918,8758
8757,8690
8829,8844
8848,8703
8831,8855
8883,8712
8783,8752
8847,8769
8840,8735
8891,8748
8784,8682
9048,8755
9333,8680
9837,8729
8757,8692
8931,8802
8738,9545
8913,8800
8850,8742
8893,8702
8858,8689
8857,8730
8808,8991
8874,8730
8844,8796
8851,8758
8889,8710
9460,8747
9048,8767
8809,8986
8847,8756
8904,8899
8799,8726
8858,8733
10007,8740
8853,8735
8827,8742
9071,8699
8792,8741
9301,8698
8859,8691
8937,8704
8877,8810
8877,8683
8843,8725
8849,8767
8911,8735
8823,8728
8885,8684
8867,8773
8942,8684
8887,8749
8851,8679
8803,8730
8895,8721
8891,8706
8856,8772
8921,8712
8898,8723
8895,8756
8918,8699
8828,8719
8859,9588
8882,8920
8834,8684
8855,8761
8844,8711
8919,8673
8809,8688
8884,8930
8848,8701
8937,8706
8843,10741
9175,9144
8911,10161
8859,8727
8906,8905
8845,8818
8870,8698
8866,10511
8861,10905
8897,8783
8852,8734
9009,8685
8808,8803
8970,8703
8854,8706
8922,8761
8855,8719
8826,8747
9016,9178
8822,8709
9032,8709
8781,8728
10133,8674
8912,8712
9546,8804
8881,8699
8698,8746
8995,8722
8686,8752
8846,8840
8665,8777
8938,8720
8784,8697
8719,8721
8731,8706
8702,8710
8825,8693
8724,8706
8767,8701
8719,8711
8756,8725
8680,8702
9494,8961
8688,8713
8727,8702
9835,10013
8697,8719
8737,9114
8686,8684
8754,8937
8694,8714
8778,8777
8739,8791
8738,8701
8693,8729
8728,8687
8736,8807
8750,8660
8810,8927
8794,8668
8825,8740
8809,8712
8745,8711
8845,8871
8791,8771
8805,8854
8813,8765
8802,8780
8960,8715
8892,8735
8888,9191
8849,9215
8841,10070
8832,8708
9426,8797
8848,8754
8906,8718
8854,8701
8933,8722
8827,8681
8834,8690
8862,8698
8825,8679
8896,8699
8819,8668
8915,8736
8983,8681
8889,8788
8941,8710
8929,8664
8880,8817
8876,8670
8881,9271
8847,8670
8905,8728
8864,8674
8885,8720
8876,8673
8900,8712
9588,9045
8839,8715
8828,8753
8786,8722
8873,8992
8744,8818
8690,8862
8791,8792
8666,8823
8737,8794
8804,8871
8823,9632
8842,9164
8857,8837
9550,8754
8721,9314
8907,8901
8838,8763
8860,8826
8843,8806
8867,8812
8863,8720
8883,9295
8889,8965
8851,8796
10258,9022
8721,8763
8837,8959
8709,8759
8785,9370
8737,8870
8724,8745
8855,8814
8688,8832
9048,8805
8724,8775
8716,8887
8728,8817
8752,8920
8718,8777
8691,8721
8791,8834
8679,8734
8732,8869
8704,8869
8765,8774
8720,8995
8728,8873
8750,8921
8801,8751
8727,8847
8762,8807
8728,8797
8677,8778
8714,8846
8673,9035
8769,8795
8670,9004
9647,9215
8802,9529
8899,8795
8731,9112
8727,9023
8677,8842
8719,8857
8756,8790
8696,8880
8706,8765
8687,9053
8724,8821
8772,8802
8701,8817
8841,8774
8785,8934
8799,8760
8810,8785
8860,8845
8838,8939
8799,8818
8801,8805
8868,9389
8864,9390
8816,8808
8885,8784
8887,8778
8822,8753
9078,8959
8672,8842
8858,8857
8709,9008
8788,8811
8905,9201
9009,8741
8833,8854
8851,8806
9320,8784
8867,8788
8847,8762
8859,8783
8935,8734
8904,8869
8887,8822
8955,8733
8859,8817
9327,8811
8861,8887
8866,8821
8884,8742
8882,8827
9007,8847
8869,8853
9364,8797
8882,8758
8902,8811
8867,8788
8991,8739
8931,9367
8923,9012
9876,8730
8830,8769
8863,8696
8872,8790
8857,8761
8877,8728
8932,9123
8910,8931
8889,8767
8932,8735
8867,8927
8917,9160
8893,8877
8867,8788
8890,8724
8912,8793
8865,8723
8893,8737
8900,8746
8914,8732
8892,8827
9609,8710
9121,8919
8744,8680
8686,8793
8853,8748
8830,8739
9068,8865
8974,8714
8763,9333
9031,8686
8814,8961
8954,8760
8841,8830
9951,8755
8902,8949
8887,8711
8984,8677
8879,8756
8904,8710
8884,8713
8929,8710
8875,8877
8925,8704
9036,9613
8930,9030
8852,11620
8905,8733
8915,8737
8985,8730
8901,8742
9079,8683
9025,8821
8795,8681
8935,8913
8935,8744
9712,10033
8922,8711
8951,10199
9032,8764
8998,8676
8911,9588
8910,8675
8896,8927
8892,8716
8922,8724
9023,8744
8877,8681
8983,8770
8989,8667
9193,8746
8918,8726
8932,9584
8947,8816
8910,8732
8940,8697
8881,8701
8951,8700
8915,8753
8921,8746
9007,8734
8875,8811
8988,8683
8908,8734
8968,8749
8876,9087
9370,8742
8913,8750
8904,8761
8901,8761
8900,9224
8911,8753
8911,8886
8938,8716
8937,8754
8995,8797
8887,8725
8933,8837
8908,8672
8973,8759
9054,8780
8919,8790
8912,8747
8910,8757
8932,8719
8928,8810
8904,8804
8911,8768
8933,8788
9048,8745
8963,8797
9874,8738
8951,8795
8874,8775
8924,9723
8959,8758
8886,8741
8930,8735
8970,8768
8940,9631
8888,9118
9555,8934
8925,8706
8916,8718
8889,9308
8995,8889
8928,9448
8971,8738
8952,8753
8901,8706
9021,8794
8921,8719
8951,8695
8921,9045
8929,8697
8966,8753
8918,8704
8916,8782
8939,8682
8995,8717
8990,8769
8923,8760
9437,8810
8895,8701
9215,8869
8907,8920
9116,8795
8887,8727
8901,9700
8959,8927
8893,8737
8966,8989
8936,8842
8896,9011
9012,8749
8917,8872
8893,8797
8932,8902
8965,8855
8862,8781
8943,8773
8931,8811
8887,9059
8906,8760
8960,8791
8960,9016
8895,9387
9133,8878
8905,9161
9059,11235
8849,9383
9013,9673
8931,9120
8927,8835
8953,8900
8953,8698
8911,9145
8956,8715
8946,8686
8976,8835
8995,8672
8911,8883
8978,8711
8943,8803
9275,8790
8939,8914
8928,8944
8896,8731
8954,8951
8942,8716
9050,8710
8848,8693
8983,8779
8862,9019
9032,8722
8945,8748
8899,8717
9113,8760
8865,8690
8976,8873
8892,8787
8947,8768
9015,8794
8963,8682
8871,8743
8965,8679
9021,8758
8947,8675
8877,8769
8969,8761
8905,8739
8972,8903
8887,8751
8884,8737
8959,8699
8943,8746
9009,8787
8862,8729
8942,8753
8901,8762
8933,8747
8928,8783
8919,8725
9317,8975
8876,8707
8991,8795
8897,8810
8917,9044
8872,8779
9111,8747
8906,8774
8868,8723
8956,8780
8930,8770
8971,9897
8868,8703
8938,8939
9338,9698
8892,8720
8976,9501
8892,8760
8949,8888
8946,8942
8947,8821
8925,9068
8878,8806
9002,8832
8854,8782
8990,8722
8911,8854
8915,8769
9236,9009
8868,8759
9312,8797
8884,8763
9097,8776
8918,8762
9343,8800
9033,8763
8990,8782
8938,8830
8879,8764
8958,8802
8877,8827
8959,8772
8922,8883
8950,8786
8945,8773
8954,8753
8955,8802
8900,8862
8929,8739
8975,8961
9077,8745
8985,8898
8875,8727
8951,8832
8916,8832
9579,8821
8956,9029
8980,8802
8990,8847
8951,8808
9022,8845
8953,8774
9307,8913
8932,8880
9280,8860
9051,8771
8910,8772
8955,8812
8927,8811
9013,8796
8935,8753
8971,8848
8953,9951
8953,9024
9111,8901
8971,8766
8993,8767
8941,8798
8899,8837
8961,8835
8996,8744
8987,8800
8945,8830
9041,8839
8945,8781
9361,8808
8901,9226
8914,8760
8974,8723
8973,8829
8953,8737
8954,8819
8943,8762
8961,8795
8963,8787
8929,8813
8994,8807
8955,8777
8911,8786
8941,8786
8971,8775
8947,8823
8927,8790
8962,8776
9217,8796
8923,8815
8986,8778
8868,8850
8954,8748
8916,9014
8935,8740
8944,8846
8918,8807
9013,8775
8917,8831
8924,8803
8953,8799
9023,8775
8938,8793
8929,8809
8924,8773
8986,9003
8905,8698
8916,8827
9201,8771
8977,8793
8890,8792
8896,8942
8949,8942
9462,8711
8941,9042
8968,8733
8947,8845
8955,8777
8923,9060
8947,8930
8950,8774
8925,8784
8937,8809
8999,8821
8881,8786
8940,8792
8972,8814
9096,8914
8895,8887
9114,8757
9215,8829
8995,8779
8919,8804
8892,8804
8989,9190
8919,8821
8955,8761
8945,8884
8978,8758
8908,8842
8983,8820
9536,9173
8899,8704
8920,8695
8974,8717
9020,8691
8961,8715
8973,8720
8929,8768
8933,8688
8947,8763
8920,8781
8962,8690
9361,9048
8894,8820
9533,8855
8904,8706
