no_opt,opt
8781,9212
9495,9087
8699,8700
9302,8801
8972,8732
8785,8692
8735,8736
8740,8723
8948,8719
8731,8736
8996,8698
8769,8754
8996,8738
8886,8775
8780,8674
9009,8892
8762,8728
8874,8715
8782,8698
8934,8763
8787,8724
9902,10898
8709,8755
8758,8717
8795,8848
8716,8683
8794,8852
8707,8719
8837,8712
8719,8731
8719,8701
8733,8812
8720,8710
8774,8934
8869,8754
8747,8847
8742,8729
8706,8737
8740,8712
8871,8717
8699,9290
8818,8781
8732,8885
8714,8734
8735,8932
8780,8756
8689,8679
8713,8897
8833,8707
8707,8834
8711,8724
8753,8917
8743,8732
8685,9899
8826,9169
8764,8730
8722,8828
8919,8713
8722,8840
8784,8705
8753,8775
8771,8726
8750,8869
9794,8772
8749,8733
8727,8701
8746,8730
8777,8852
8768,8719
8706,8977
9709,8743
8842,8757
8790,8686
8751,8808
8738,8693
8844,8706
8802,8701
9437,8718
8726,8719
8755,8738
8757,8697
8727,8714
8750,8710
8811,8745
8742,8788
8811,8906
8759,10221
8722,9094
8788,8782
8697,8873
8911,8760
8676,8886
8793,8900
8720,8922
8771,8981
8762,8871
8743,8855
8777,8879
8747,8919
8783,9176
8715,8987
8741,9029
8759,9081
8703,9016
9098,8988
8697,9170
8770,9087
8700,8912
8902,8825
8720,9417
8942,9106
8790,9253
8717,9967
8812,9500
8690,10446
8780,10968
8756,9869
8862,9702
8724,10321
8809,9645
8783,9582
8747,10027
8765,9707
8807,9381
8784,10150
9004,9487
9424,10820
8697,9612
8701,12343
8801,9657
8734,9982
9004,9525
8781,9621
8863,9912
8781,9817
8774,11331
8819,9537
9077,9631
8737,9962
8775,9388
8782,8746
8796,8755
8782,9993
8847,8726
8730,8781
8767,8733
8783,8744
8814,8767
8773,8750
8866,8759
8803,8730
8814,8849
8720,8759
8979,8733
8723,9349
8693,9220
8777,8723
8718,8731
8761,8732
8747,8709
8779,8912
8761,8804
8940,9088
8806,8748
8750,8749
8771,9022
8769,8698
8796,8956
8751,9217
8887,8926
8738,8711
8992,8779
8725,8767
8713,8733
8744,8711
8692,8967
9396,8849
10828,9540
8761,8885
8721,9002
8799,9293
8715,9147
8729,9151
8828,9574
8727,8728
8733,8961
8714,8749
8712,8730
8715,8765
8709,8751
8889,8785
8721,8741
9106,9501
8777,9398
9075,9375
8900,9741
8754,9177
8701,11435
8756,8865
8727,8762
8709,8841
8739,9062
8709,8849
15104,8775
9096,8929
8725,8791
9303,8828
8734,8786
8689,8846
8767,8808
8690,8797
8696,8785
8709,8957
8738,8861
8730,8783
8694,8850
8720,8786
8692,8886
8822,8804
8680,9384
8835,8762
8733,8890
8748,8969
8717,8791
8910,9097
8747,9708
8709,9059
9795,8761
8696,9276
8769,9049
8733,8895
8690,8827
8768,8814
8694,8795
8830,8769
8721,8808
8702,8806
8723,8881
8846,9785
8856,10395
8689,9844
8870,9280
8710,9169
8739,8973
8708,8733
8851,8848
8788,8838
8757,10456
9622,8842
8736,8866
8716,8869
8725,8786
9508,8864
8868,8795
8830,10715
8889,9385
8684,8863
8753,8948
8705,8779
8727,8818
8726,8801
8738,9182
8905,8903
8777,9007
8858,8834
8776,8827
8904,8758
8674,8852
8764,8798
8879,8833
9067,9491
9167,8904
8946,9190
9271,8762
8984,8805
8994,8825
8977,8819
8764,8822
8746,8800
8699,8980
8868,8897
8680,8812
9563,8800
9482,8839
8757,9234
8749,8779
8693,8851
8755,8793
8749,10183
8669,10103
9916,9358
8722,9403
8810,10018
8806,8757
8704,8757
8834,8688
8690,8815
8817,8686
8698,9538
8783,8685
8745,8761
8718,8703
8774,8749
8687,8734
8882,8733
8730,8807
8720,8747
8819,8716
8728,8751
8888,10397
8735,8713
8725,8798
8717,8915
8859,8770
8689,8799
8763,8759
8702,8720
8760,8757
9062,8715
8721,8737
8860,8694
8675,8707
8820,8716
8690,8708
8708,8720
8705,8838
8736,8777
8718,8965
8691,8763
8727,8722
8703,8757
8693,8722
8720,8751
8807,8709
8760,9057
8721,8771
8825,8716
8686,9966
8916,8743
8725,8752
8731,8682
8759,8791
8718,8755
8760,8723
8829,8763
8848,8737
9103,8810
9804,8734
8775,8955
8812,8752
8733,8691
8702,9666
8723,8719
